,이름,형태소
1046,럭키백,NNG
1047,뚜껑,NNG
1048,네일,NNG
1049,별도,NNG
1050,자몽청,NNG
1051,이만,NNG
1052,칠천,NNG
1053,천육백,NNG
1054,아이스팬,NNG
1055,밀크,NNG
1056,깔끔,NNG
1057,달고,NNG
1058,나머지,NNG
1059,커피류,NNG
1060,전부,NNG
1061,달달,NNG
1062,애플,NNG
1063,신메뉴,NNG
1064,차이,NNG
1065,약간,NNG
1066,생강,NNG
1067,수삼주스,NNG
1068,수삼,NNG
1069,오천오백,NNG
1070,이천팔백,NNG
1071,수제쿠키,NNG
1072,햄치즈,NNG
1073,여섯시,NNG
1074,캬라멜,NNG
1075,압력,NNG
1076,기름층,NNG
1077,부드럽게,NNG
1078,연한,NNG
1079,예시,NNG
1080,5만원,NNG
1081,단계,NNG
1082,차이티,NNG
1083,조절,NNG
1084,얼음물,NNG
1085,이천햅쌀라떼,NNG
1086,파우더,NNG
1087,생각,NNG
1088,어플,NNG
1089,이력,NNG
1090,삼백,NNG
1091,많게,NNG
1092,삼만,NNG
1093,크림슈,NNG
1094,초코맛,NNG
1095,로얄비트쉬폰,NNG
1096,오천칠백,NNG
1097,현대엠포인트,NNG
1098,신용카드,NNG
1099,씨제이원카드,NNG
1100,씨제이,NNG
1101,원카드,NNG
1102,계열사,NNG
1103,실물카드,NNG
1104,국민,NNG
1105,야외,NNG
1106,타워,NNG
1107,끈적하다,NNG
1108,달은,NNG
1109,육백,NNG
1110,계정,NNG
1111,모형,NNG
1112,자색,NNG
1113,SK포인트,NNG
1114,15퍼센트,NNG
1115,적용,NNG
1116,지정,NNG
1117,티멤버십,NNG
1118,실물,NNG
1119,컴퓨터,NNG
1120,베버리지,NNG
1121,블렌딩,NNG
1122,드란티,NNG
1123,플랫치노,NNG
1124,초콜릿칩,NNG
1125,양해,NNG
1126,요거트,NNG
1127,애,NNG
1128,쿠키프라페,NNG
1129,생딸기,NNG
1130,쿠앤크마카롱,NNG
1131,딸기마카롱,NNG
1132,9시반,NNG
1133,테이크아웃컵,NNG
1134,다섯,NNG
1135,승차권,NNG
1136,10프로,NNG
1137,7700원,NNG
1138,바닐러,NNG
1139,커피콘,NNG
1140,밀가루,NNG
1141,자스민차,NNG
1142,찬,NNG
1143,1200원,NNG
1144,1시,NNG
1145,3800원,NNG
1146,해룡,NNG
1147,중국집,NNG
1148,3퍼센트,NNG
1149,5퍼센트,NNG
1150,성함,NNG
1151,#이름,NNG
1152,밑,NNG
1153,납작,NNG
1154,본점,NNG
1155,모과차,NNG
1156,뜨겁지,NNG
1157,일요일,NNG
1158,6시,NNG
1159,명절,NNG
1160,1리터,NNG
1161,1년,NNG
1162,사과,NNG
1163,주스용,NNG
1164,옆쪽,NNG
1165,바닐라시럽,NNG
1166,플랫화이트,NNG
1167,홀더,NNG
1168,솔티드캬라멜라떼,NNG
1169,짭잘한,NNG
1170,구수한,NNG
1171,달달한,NNG
1172,더치라떼,NNG
1173,우측,NNG
1174,소금커피,NNG
1175,소금크림소스,NNG
1176,짠,NNG
1177,메이플라떼,NNG
1178,메이플,NNG
1179,1월말,NNG
1180,개업,NNG
1181,6900원,NNG
1182,대만샌드위치,NNG
1183,더블에스프레소,NNG
1184,배,NNG
1185,십구곡라떼,NNG
1186,율무,NNG
1187,10년,NNG
1188,2015년도,NNG
1189,아포카토,NNG
1190,빽앤나,NNG
1191,레몬에이드,NNG
1192,티레몬에이드,NNG
1193,3900원,NNG
1194,모히토커피라떼,NNG
1195,모히토,NNG
1196,화한,NNG
1197,롯데,NNG
1198,히비스커스,NNG
1199,서울,NNG
1200,경기,NNG
1201,지역,NNG
1202,국내,NNG
1203,브랜드,NNG
1204,인삼한뿌리,NNG
1205,인삼,NNG
1206,진저에이드,NNG
1207,아린,NNG
1208,100원,NNG
1209,7800원,NNG
1210,10번째,NNG
1211,바깥쪽,NNG
1212,청포도,NNG
1213,케냐AA,NNG
1214,마운틴,NNG
1215,블루마운틴,NNG
1216,구운,NNG
1217,3천원,NNG
1218,모카치노,NNG
1219,뒤쪽,NNG
1220,급속,NNG
1221,충전기,NNG
1222,빌딩,NNG
1223,1시간,NNG
1224,주차단속,NNG
1225,저번,NNG
1226,번씩,NNG
1227,신데렐라,NNG
1228,장화홍련,NNG
1229,바리스타마스터,NNG
1230,코지코히,NNG
1231,900원,NNG
1232,밀크코히,NNG
1233,일본어,NNG
1234,코히,NNG
1235,1900원,NNG
1236,아파트,NNG
1237,주차선,NNG
1238,8시,NNG
1239,마론마키야또,NNG
1240,회원,NNG
1241,2프로,NNG
1242,3프로,NNG
1243,엘지페이,NNG
1244,민트아메리카노,NNG
1245,경성역,NNG
1246,다방커피,NNG
1247,연유커피,NNG
1248,부드라운,NNG
1249,20분,NNG
1250,쿠폰제,NNG
1251,허니버터볼,NNG
1252,브라우니,NNG
1253,비번,NNG
1254,모니터,NNG
1255,편의점,NNG
1256,그릇,NNG
1257,저녁,NNG
1258,스팀밀크,NNG
1259,스팀,NNG
1260,결제금액,NNG
1261,크루아상,NNG
1262,겉,NNG
1263,헤이즐넛라떼,NNG
1264,헤이즐넛시럽,NNG
1265,치즈케이크라떼,NNG
1266,할인쿠폰,NNG
1267,좌측,NNG
1268,정수기,NNG
1269,원두찌꺼기,NNG
1270,캐모마일,NNG
1271,숏라떼,NNG
1272,진한,NNG
1273,오리지날,NNG
1274,ONE,NNG
1275,홈페이지,NNG
1276,1000점,NNG
1277,더블그린,NNG
1278,녹차라떼,NNG
1279,공차,NNG
1280,SK,NNG
1281,비밀전호,NNG
1282,화이트모카,NNG
1283,하얀,NNG
1284,마키야또,NNG
1285,커피잔,NNG
1286,리트로콜드브루,NNG
1287,배달의,NNG
1288,민족,NNG
1289,3만원,NNG
1290,열두,NNG
1291,일곱,NNG
1292,아홉,NNG
1293,R사이즈,NNG
1294,3200원,NNG
1295,그린티,NNG
1296,녹차가루,NNG
1297,원사이즈,NNG
1298,초콜렛맛,NNG
1299,2900원,NNG
1300,콜드폼,NNG
1301,폼,NNG
1302,쵸코음료,NNG
1303,쵸코,NNG
1304,자바,NNG
1305,특징,NNG
1306,카스텔라,NNG
1307,LG유플러스,NNG
1308,내일,NNG
1309,보관,NNG
1310,냉장고,NNG
1311,베란다,NNG
1312,연해,NNG
1313,토마토,NNG
1314,냉동과일,NNG
1315,2월,NNG
1316,원유,NNG
1317,몇미리,NNG
1318,16온스,NNG
1319,모카라떼,NNG
